"","movie","DatePosted","Comment"
"1","Barbie",2023-05-28,"im obsessed with the dream houses being completely open so theyre easy to play in and the shower despite having no water is being treated like it does. its all perfect."
"2","Barbie",2023-05-31,"Bro Ken is just having the time of his life in every scene. The guy lives like he just vibes his whole life"
"3","Barbie",2023-05-25,"I love that she just floats to the ground because no one used the stairs as a kid 😭<br><br>edit: little did I know they&#39;d literally say this in the movie 😭"
"4","Barbie",2023-05-27,"I like how the person telling Barbie about the real world is a Barbie that a kid scribbled on a messed up. Such amazing details."
"5","Barbie",2023-05-26,"I love that she floats down from the second level of her house to the car. Just like when you’re playing with Barbies, they defy physics."
"6","Barbie",2023-05-31,"&#39;No, you&#39;re supposed to want to know, do that again.&#39; I love this movie already."
"7","Barbie",2023-06-01,"&quot;If you love Barbie, you&#39;ll love it. If you hate Barbie, you&#39;ll love it&quot;. I have to admit, I kind of love that."
"8","Barbie",2023-05-25,"I would have never imagined, even in one hundred years, that I would be genuinely excited for a Barbie movie to come out. Yet here we are"
"9","Barbie",2023-05-25,"Ryan Gosling as Ken is all I need in life."
"10","Barbie",2023-05-27,"The fact that almost every actor has said they had a GREAT time filming this is such a good sign"
"11","Barbie",2023-05-28,"I have the feeling that this movie will have some serious &quot;Truman Show/Black Mirror, but slap a pink filter on it&quot; energy, and honestly, I&#39;m <b>all</b> here for it."
"12","Barbie",2023-05-27,"I love when she kicks her heels off and her feet stay ridiculously arched. That was the moment I knew I have to see this movie. 😂"
"13","Barbie",2023-05-26,"I love that they&#39;re keeping the plastic aesthetic and exaggerated architecture. Plus, all the actors are perfectly hilarious for their roles. I know this movie is going to be a great time."
"14","Barbie",2023-05-25,"This has top tier level marketing, music, visuals, fresh ideas, it&#39;s got it all! The world is ready for something NEW. Thank you Greta!"
"15","Barbie",2023-05-26,"I grew up with Barbie and we all know she&#39;s a huge icon in the toy industry,  but this is ridiculous and fantastic at the same time. I actually want to see this"
"16","Barbie",2023-05-25,"Never thought I&#39;d be so excited for a Barbie movie, but alas here we are. Also Gosling as Ken is just amazing 😂"
"17","Barbie",2023-05-30,"The fact that they made this movie the way we played Barbie as kids, making the Barbie’s life perfect, making ken follow Barbie everywhere, not using the stairs in a Barbie house."
"18","Barbie",2023-05-25,"I like how Barbie grow up with us: from kids&#39; cartoons to something kind of philosofic and thought-provoking. I&#39;m so glad her world is getting wider."
"19","Barbie",2023-05-26,"Margot is simply stunning. She brings so much heart to the role, she’s not just a blonde bimbo. She really was born to play Barbie."
"20","Barbie",2023-05-26,"&quot;Humans only have one ending, ideas live forever&quot; is such an incredible line, wow. Greta Gerwig and Noah Baumbach can sure write a great script, and I don&#39;t think this&#39;ll be any different. It looks fantastic. The art direction is incredible."
"21","Barbie",2023-05-25,"“Humans only have one ending, ideas live forever”. Greta Gerwig is making a masterpiece!"
"22","Barbie",2023-05-27,"I love how she wasn&#39;t really freaking out at the flat foot thing and just started screaming bc everyone else was screaming 😂"
"23","Barbie",2023-05-25,"“Humans only have one ending, ideas live forever”. Greta Gerwig is making a masterpiece! This feels like it’s gonna give kids their first existential crisis and I’m all for it. If you love Barbie this movie is for you and if you hate Barbie this movie is for you. Wise Words!"
"24","Barbie",2023-05-25,"If you love Barbie this movie is for you and if you hate Barbie this movie is for you. Wise Words!"
"25","Barbie",2023-05-28,"Every single person, from the writer, to the director, to the producer, to the actors, supporting cast members and the entire crew, has to be IN-SANE for this to have been made!!! Kudos!!!!! 💞💞💞"
"26","Barbie",2023-05-31,"I’m not even embarrassed to say how excited I am for this. It’s gonna be an instant classic."
"27","Barbie",2023-05-25,"I never thought about Gosling playing Ken but that is just brilliant casting and of course Margot as Barbie is perfect"
"28","Barbie",2023-05-29,"Love how accurately they make her seem like a Barbie doll, from her staying stiff on her toes to floating to the ground since there&#39;s probably not a single kid in the world who used the stairs."
"29","Barbie",2023-05-25,"That ending bit where Ken wants to play doctor and “just do one appendectomy” is genuinely hilarious"
"30","Barbie",2023-05-25,"<a href=""https://www.youtube.com/watch?v=pBk4NYhWNMM&amp;t=44"">0:44</a> I love that when Barbie says “Cold Shower”, there isn’t actually any water coming out of the shower head"
"31","Barbie",2023-05-26,"Not only did Mattel approve a PG-13 Barbie movie mostly intended for adults who grew up with Barbies, but they also approved a story where they’re the villains. That’s just insane"
"32","Barbie",2023-05-26,"“Humans only have one ending, ideas live forever”. Greta Gerwig is making a masterpiece! This feels like it’s gonna give kids their first existential crisis and I’m all for it. If you love Barbie this movie is for you and if you hate Barbie this movie is for you. Wise Words!"
"33","Barbie",2023-06-02,"The fact a Barbie movie is one of the most hype movies this year is astounding<br>Edit: this was an abomination, wow"
"34","Barbie",2023-05-25,"&quot;if you love Barbie, this movie is for you&quot;<br>&quot;if you hate Barbie, this movie is for you&quot;<br>Ohhh god can&#39;t wait for this movie to come out and see, love you Margot Robbie ❤️"
"35","Barbie",2023-05-30,"Imagine if a few years ago someone told you you’d be hyped for a Barbie movie lol also Kate McKinnon’s look being a Barbie that met a kid with scissors and pencils is everything."
"36","Barbie",2023-05-25,"Watch as millions of people get their first introduction to an existential crisis through a Barbie movie. In all seriousness, this could be a masterpiece."
"37","Barbie",2023-05-25,"I like how this is actually a unique idea/new concept for a Barbie movie  Even if it&#39;s a huge established franchise, making a Barbie for adults movie that deals with &quot;real life&quot; is new for the Barbie brand. A breath of fresh air from all the remakes and reboots in Hollywood lately. Can&#39;t wait to see this!"
"38","Barbie",2023-05-25,"This looks so artistic and fun for the actors! Can&#39;t wait. Going to go to the theater dressed as Barbie!"
"39","Barbie",2023-05-26,"Hearing the Barbie Girl song at the end I about almost had a heart attack from the excitement of it. Hopefully this means that they are finally listening to us and finally putting the song in there."
