movie,DatePosted,Comment
Inside Out 2,2024-03-07,I like the detail that envy is small because it makes you feel small and embarrassment is big because you feel like you&#39;re super noticable
Inside Out 2,2024-03-07,"I love how Riley&#39;s mom doesn&#39;t have those extra emotions, meaning she grew out of them and she&#39;s comfortable showing her basic emotions without overthinking stuff."
Inside Out 2,2024-03-07,I hope that Brazilian helicopter pilot from Riley’s mom’s flashback makes an in person cameo in this one.
Inside Out 2,2024-03-07,"“Riley’s life requires more sophisticated emotions than all of you,” says Anxiety speaking to Joy. That was a crazy bar if I ever heard one. I feel growing up made it harder to just be joyous/happy with nothing else."
Inside Out 2,2024-03-07,I love how Anxiety’s bags can be interpreted literally as “Emotional Baggage”.
Inside Out 2,2024-03-07,"I love how the older emotions are just, not, used to being &quot;older.&quot; The newer ones react more throughout their choices. &quot;Riley&#39;s life needs more sophisticated emotions then all of you,&quot; is just perfect"
Inside Out 2,2024-03-08,"This is the perfect representation of a teen going through puberty. the fact that their emotions are all over the place (literally) as well as their emotions being bottled up, causing them to feel more anxiety, and depression, rather than their usual self. puberty sucks, and it&#39;s fun seeing it turned into a physical representation.<br><br>Edit: for people who are saying &quot;thanks for stating the obvious&quot; i KNOW i am stating the obvious, i am just pointing out my respect for it. calm down."
Inside Out 2,2024-03-07,Anxiety suppressing the other emotions is genius. This looks incredible.
Inside Out 2,2024-03-07,Anxiety saying that her job is to &quot;plan for the future&quot; is PERFECT. Constantly imagining future situations at the expense of present reality. Chef&#39;s kiss.
Inside Out 2,2024-03-07,"I love that they used the “bottle up” scene literally and metaphorically. That’s pretty brilliant considering that whenever we feel anxious, envy, or embarrassment we do bottle up our other emotions sometimes.<br><br>We grew up with Inside Out as kids, now we’re growing up with Inside Out 2 when we’re older."
Inside Out 2,2024-03-07,“You can’t just bottle us up!”<br>Well I know what happened to my main 5 emotions in high school
Inside Out 2,2024-03-08,Anxiety taking control of everything is the most accurate thing ever
Inside Out 2,2024-03-07,"You can see that Anxiety is the villain not because she is bad, but because she somehow wanted the best for Riley and did what she did with her main emotions. Perhaps just as Joy realized that she needed to give space to all the emotions in the first film, Anxiety learns something similar in this one, that there are no more sophisticated emotions and that without the main ones, she and the other 3 are completely useless."
Inside Out 2,2024-03-07,"Glad that the other emotions: Fear, Anger, Disgust get to join in adventuring around Riley&#39;s mind now"
Inside Out 2,2024-03-08,"I think one of the coolest part about this film being released almost 10 years after the first film, is that the children that grew up seeing this movie are likely going through what Riley is in this film.<br>Puberty.<br>Several therapists have attested to how Inside Out helped young children understand and process their emotions, and now those children are growing up and developing feelings they have even less understanding of. My parents kind of glossed over having any of these discussions and didn&#39;t address them until they became problematic, so I hope adults and even therapists see this movie to help their young pre-teens/teens navigate the misery of puberty."
Inside Out 2,2024-03-08,&quot;That is the preview of the next 10 years.&quot;<br>That is the best line in this whole movie.
Inside Out 2,2024-03-07,"“You cant just bottle us up!”<br>That is such a great pun, and the fact that it will probably be a MAJOR plot point makes it even funnier"
Inside Out 2,2024-03-08,&quot; You cant just bottle us up!&quot;<br>Well good to know Joy still has her development from the first movie XD.
Inside Out 2,2024-03-08,"<a href=""https://www.youtube.com/watch?v=LEjhY15eCx0&amp;t=45"">0:45</a> <a href=""https://www.youtube.com/watch?v=LEjhY15eCx0&amp;t=53"">0:53</a> I feel like Envy and Disgust will have a Big Sister/ Little Sister relationship because they both look similar and seeing Disgust hold Envy is just too adorable."
Inside Out 2,2024-03-08,Seeing Envy being personified as a teeny tiny cutesy adorable emotion makes me think that her thing is that she transforms into BIG BAD GREEN-EYED MONSTER WITH SCARY TEETH AND FANGS AND AN ATTITUDE when she hits her breaking point.
Inside Out 2,2024-03-07,"Envy, Ennui, and Embarrassment&#39;s designs are really interesting. Envy is a child, Ennui as an emo, and Embarrassment is a big guy that shy."
Inside Out 2,2024-03-07,"I love how you can tell Riley through her design that she still has her happy core, but that she&#39;s clearly growing up, too"
Inside Out 2,2024-03-08,i love how the bottling up emotions metaphor is as literal as it could possibly get
Inside Out 2,2024-03-09,"&quot;Welp, that&#39;s a preview of the next 10 years!&quot;<br>Riley&#39;s Mom&#39;s emotions are a literal mood"
Inside Out 2,2024-03-09,"I think it&#39;s really heartwarming that Joy has fully accepted Sadness for who she is, and how important she is for Riley. And I like already how Fear and Anxiety are fearful/worried about two completely different things: Fear is worried for more concrete concerns in the present, anxiety is worried about more abstract concerns that could or could not be in the future. Fear is worried about the possibility that Riley could get hit in the mouth with a hockey puck (which is rational and easily fixed), Anxiety is worried that if Riley does not make a good first impression on the cool kids that in the future she will not be popular/have friends (which is irrational but feels oh so important now that she has to or else she will be thinking about it for the next year)."
Inside Out 2,2024-03-07,"Ok, the way Sadness connected immediately with Embarrassment is honestly so cute<br><br>Edit: 4.9 thousand likes?? Damn!"
Inside Out 2,2024-03-07,I like how they tie in the emotions with ordinary teenage tropes like wanting to fit in and abandoning old friends for new ones
Inside Out 2,2024-03-07,"<a href=""https://www.youtube.com/watch?v=LEjhY15eCx0&amp;t=97"">1:37</a> i love how they used the expression &quot;bottling up emotions&quot; literally."
Inside Out 2,2024-03-07,The fact that Anxiety is the villain and tries to take control and get rid of other emotions is so accurate. That’s my anxiety right there😂.
Inside Out 2,2024-03-08,"<a href=""https://www.youtube.com/watch?v=LEjhY15eCx0&amp;t=88"">1:28</a> this is genuinely the first time I&#39;ve ever seen a teenage character with acne but where its just a normal part of their design and not a visual gag or being made fun of and it honestly made me so happy to see it"
Inside Out 2,2024-03-07,"Okay, I wasn&#39;t expecting Anxiety to <i>literally</i> bottle up Riley&#39;s emotions, but that&#39;s a really cool twist! Really hyped for this movie!"
Inside Out 2,2024-03-08,"Bro 10 years ago I watched this movie with my family members in the cinema as a 10 year old boy, now I’m a 20 years old man and some of the family members I watched this with have either passed away or started families of their own. This nostalgia is really putting my life into perspective and I just want to tell people reading this comment to enjoy every moment of your life, because you don’t know what would happen next."
Inside Out 2,2024-03-07,"I was not expecting the new emotions to take over Riley’s mind, now this is gonna be one epic of a movie."
Inside Out 2,2024-03-07,&quot;WE ARE SUPPRESSED EMOTIONS.&quot;<br>My entire childhood summed up in one sentence. 😂
Inside Out 2,2024-03-08,"The best part about this is that we can freely give our comments here, showing the actual audience it&#39;s trying to achieve here and I appreciate that. Inside Out was one of my favourite films as a kid and I remember replaying it every time during car trips, it was that good. Here I&#39;m hoping the sequel proceeds to be as good as its predecessor."
Inside Out 2,2024-03-07,"<a href=""https://www.youtube.com/watch?v=LEjhY15eCx0&amp;t=53"">0:53</a> The way Sadness called Embarrassment &quot;Big Fella&quot; is so adorable."
Inside Out 2,2024-03-08,“YOU CAN’T JUST BOTTLE US UP!” HELP THAT HAD ME DYING THIS IS SO GOOD
Inside Out 2,2024-03-08,"When the first one ended, I immediately wanted a sequel to show Riley&#39;s emotions as she hit puberty.  I&#39;m so excited for this!  I&#39;m still traumatized by Bing Bong, so I hope there&#39;s no more trauma in this one."
Inside Out 2,2024-03-07,"No one is talking about how the adults have the original 5 emotions, showing how strong these new ones are during your development years and also explaining why we didn&#39;t see these new ones in the first movie. Very nice to details!"
Inside Out 2,2024-03-09,"I really like the new emotion&#39;s designs, especially Envy having such giant eyes like she&#39;s admiring everyone around her. I also love how Embarrassment is a giant creature who always wants to feel tiny, kinda like how you feel like when you get emabrrassed."
Inside Out 2,2024-03-07,Inside Out is one of those Disney movies where a sequel actually makes sense and could work very well
Inside Out 2,2024-03-07,Love Pixar for establishing fear and anxiety as two very different emotions. They&#39;re too commonly grouped together as synonyms rather than acknowledged as distinctive feelings.
Inside Out 2,2024-03-11,"<a href=""https://www.youtube.com/watch?v=LEjhY15eCx0&amp;t=114"">1:54</a> “Well that’s a preview of the next 10 years”<br>Yeah that&#39;s accurate lol"
Inside Out 2,2024-03-07,Embarrassment is just a big softie and I love him...
Inside Out 2,2024-03-07,That bit with the sar-chasm is absolutely brilliant
Inside Out 2,2024-03-07,That ‘sarcasm’ bit was genius.
Inside Out 2,2024-03-07,"The way Anxiety said that her job is to &quot;plan for the future&quot; is soo accurate realistically, always trying to predict future situations at the expense of wasting time in present reality."
Inside Out 2,2024-03-07,I love Riley’s mum being like “THAT’S a preview of the next 10 years” 😂
Inside Out 2,2024-03-07,Sadness being drawn to Embarrassment is adorable 🫶
Inside Out 2,2024-03-07,Suppressed emotions?<br>Oh yes Depression is certainly gonna make a grand entrance. Pixar bout to feed us peak cinema
Inside Out 2,2024-03-07,The plot looks a lot better than I thought it would.
Inside Out 2,2024-03-07,"<a href=""https://www.youtube.com/watch?v=LEjhY15eCx0&amp;t=101"">1:41</a> &quot;we are suppressed EMOTIONS&quot; best line ever prove me wrong"
Inside Out 2,2024-03-07,Envy: green with envy and makes you feel small like no one sees you<br>Embarrassment: makes you blush you feel big like everyone can see you<br>Ennui: lacking bright colors and feeling droopy like there&#39;s no energy in your body<br><br>Love how the way they personified the new emotions
Inside Out 2,2024-03-07,"I wasn&#39;t quite sure if a second Inside Out was necessary, but there&#39;s clearly a lot to explore in regards to puberty and emotional development as a teenager. I could see this being Pixar&#39;s first genuine financial hit in 5 years a la &quot;Toy Story 4&quot;, but only time will tell."
Inside Out 2,2024-03-07,"as a teenageer, calling Joy, Sadness, Anger, Disgust, and Fear &quot;surpressed emotions&quot; is actually so realistic and this is the first disney movie im excited for in ages."
