movie,comment_count,negative,positive,sentiment_score,total_words,avg_sentiment,gross,log_gross
Nefarious,1,0,1,1,1,1,5433685,15.508128098940759
Broker,4,1,4,3,5,0.6,1001892,13.81740077038665
The Wandering Earth II,6,1,3,2,4,0.5,3444487,15.05228553987559
Sound of Freedom,9,2,5,3,7,0.42857142857142855,184177725,19.031411746134296
Freelance,9,2,9,7,11,0.6363636363636364,5314136,15.485880997748211
Lost in the Stars,9,3,1,-2,4,-0.5,1721446,14.358675193275701
Jules,17,4,18,14,22,0.6363636363636364,1924922,14.470396005402566
The Lost King,17,4,7,3,11,0.2727272727272727,1189307,13.988881342513201
Waitress: The Musical,21,4,15,11,19,0.5789473684210527,5402148,15.502307210219675
Anatomy of a Fall,22,12,12,0,24,0,3742039,15.13514120799596
Moving On,22,11,10,-1,21,-0.047619047619047616,2136832,14.5748349163303
Creation of the Gods I: Kingdom of Storms,23,4,14,10,18,0.5555555555555556,1686246,14.338015314373788
The Hill,25,3,10,7,13,0.5384615384615384,7665865,15.8522879145406
Skinamarink,27,43,22,-21,65,-0.3230769230769231,2052272,14.534458030094582
Camp Hideout,30,3,11,8,14,0.5714285714285714,1125010,13.93330248247004
Mafia Mamma,31,20,23,3,43,0.06976744186046512,3496761,15.067347669414826
The Holdovers,36,16,39,23,55,0.41818181818181815,18208655,16.717407588459768
After Death,37,79,48,-31,127,-0.2440944881889764,11477621,16.25590969741544
Saltburn,37,31,64,33,95,0.3473684210526316,11256512,16.236457363593324
Golda,38,18,39,21,57,0.3684210526315789,4801781,15.384497448725849
The Covenant,39,15,41,26,56,0.4642857142857143,16938039,16.645072478976086
The Quiet Girl,39,25,58,33,83,0.39759036144578314,1500014,14.220984999362216
Radical,41,3,14,11,17,0.6470588235294118,8636299,15.97148469252791
Journey to Bethlehem,43,16,86,70,102,0.6862745098039216,6816475,15.734853034030262
Missing,45,20,42,22,62,0.3548387096774194,32502025,17.29681295305123
Plane,45,27,31,4,58,0.06896551724137931,32111181,17.284714845208708
Poor Things,45,26,53,27,79,0.34177215189873417,10269036,16.144643711871044
The Miracle Club,46,3,37,34,40,0.85,2377438,14.681533995248822
