"","Rank","Release","Genre","Budget","Running Time","Gross","Theaters","Total Gross","Release Date","Distributor","Estimated"
"1",1,"Inside Out 2","-","-","-","$652,980,194","4,440","$652,980,194","Jun 14","Walt Disney Studios Motion Pictures","false"
"2",2,"Deadpool & Wolverine","-","-","-","$636,745,858","4,330","$636,745,858","Jul 26","Walt Disney Studios Motion Pictures","false"
"3",3,"Wicked","-","-","-","$432,943,285","3,888","$473,231,120","Nov 22","Universal Pictures","false"
"4",4,"Moana 2","-","-","-","$404,017,489","4,200","$460,405,297","Nov 27","Walt Disney Studios Motion Pictures","false"
"5",5,"Despicable Me 4","-","-","-","$361,004,205","4,449","$361,004,205","Jul 3","Universal Pictures","false"
"6",6,"Beetlejuice Beetlejuice","-","-","-","$294,100,435","4,575","$294,100,435","Sep 6","Warner Bros.","false"
"7",7,"Dune: Part Two","-","-","-","$282,144,358","4,074","$282,144,358","Mar 1","Warner Bros.","false"
"8",8,"Twisters","-","-","-","$267,762,265","4,170","$267,762,265","Jul 19","Universal Pictures","false"
"9",9,"Godzilla x Kong: The New Empire","-","-","-","$196,350,016","3,948","$196,350,016","Mar 29","Warner Bros.","false"
"10",10,"Kung Fu Panda 4","-","-","-","$193,590,620","4,067","$193,590,620","Mar 8","Universal Pictures","false"
"11",11,"Bad Boys: Ride or Die","-","-","-","$193,573,217","3,885","$193,573,217","Jun 7","Sony Pictures Releasing","false"
"12",12,"Kingdom of the Planet of the Apes","-","-","-","$171,130,165","4,075","$171,130,165","May 10","20th Century Studios","false"
"13",13,"Gladiator II","-","-","-","$164,554,921","3,580","$172,438,016","Nov 22","Paramount Pictures","false"
"14",14,"Sonic the Hedgehog 3","-","-","-","$151,558,894","3,769","$236,115,100","Dec 20","Paramount Pictures","false"
"15",15,"It Ends with Us","-","-","-","$148,518,266","3,839","$148,518,266","Aug 9","Sony Pictures Releasing","false"
"16",16,"The Wild Robot","-","-","-","$143,190,445","3,997","$143,901,945","Sep 27","Universal Pictures","false"
"17",17,"Venom: The Last Dance","-","-","-","$139,733,580","4,131","$139,755,882","Oct 25","Sony Pictures Releasing","false"
"18",18,"A Quiet Place: Day One","-","-","-","$138,930,553","3,708","$139,051,884","Jun 28","Paramount Pictures","false"
"19",19,"Mufasa: The Lion King","-","-","-","$128,143,945","4,100","$254,567,693","Dec 20","Walt Disney Studios Motion Pictures","false"
"20",20,"Ghostbusters: Frozen Empire","-","-","-","$113,376,590","4,345","$113,376,590","Mar 22","Sony Pictures Releasing","false"
"21",21,"IF","-","-","-","$111,149,917","4,068","$111,375,918","May 17","Paramount Pictures","false"
"22",22,"Alien: Romulus","-","-","-","$105,313,091","3,915","$105,313,091","Aug 16","Walt Disney Studios Motion Pictures","false"
"23",23,"Bob Marley: One Love","-","-","-","$96,893,170","3,597","$96,981,216","Feb 14","Paramount Pictures","false"
"24",24,"Red One","-","-","-","$96,805,881","4,032","$97,000,759","Nov 15","Amazon MGM Studios","false"
"25",25,"The Fall Guy","-","-","-","$92,900,355","4,008","$92,900,355","May 3","Universal Pictures","false"
"26",26,"The Garfield Movie","-","-","-","$91,956,547","4,108","$91,956,547","May 24","Sony Pictures Releasing","false"
"27",27,"Wonka","-","-","-","$85,272,410","4,213","$218,402,312","Dec 15","Warner Bros.","false"
"28",28,"Longlegs","-","-","-","$74,346,140","2,850","$74,346,140","Jul 12","Neon","false"
