Movie,avg_sentiment,total_words,gross
Broker,3,2,1001892
The Journey: A Music Special from Andrea Bocelli,2.75,8,3574915
Back to the Future,2.5,6,1240710
Living,2.2994350282485874,177,2984305
About My Father,2.132596685082873,181,12089391
Air,2.108695652173913,230,52460106
The Hill,2.0955414012738856,157,7665865
Champions,2.093137254901961,204,16397335
Theater Camp,2.089655172413793,145,4009945
Jules,2.087719298245614,228,1924922
Ponniyin Selvan: Part Two,2.0652173913043477,92,3813000
Book Club: The Next Chapter,2.05,200,17581565
Maybe I Do,2.04320987654321,162,1293722
The Nun II,2.014705882352941,204,86267073
Suzume,2,69,10932037
You Hurt My Feelings,1.9714285714285715,175,4830788
Somewhere in Queens,1.9593023255813953,172,1802442
A Haunting in Venice,1.94331983805668,247,42471412
Blue Beetle,1.936241610738255,298,72488072
Journey to Bethlehem,1.9285714285714288,294,6816475
My Big Fat Greek Wedding 3,1.9207920792079207,202,28496030
The Miracle Club,1.9013157894736843,152,2377438
What Happens Later,1.899159663865546,238,3273895
Polite Society,1.8962264150943395,212,1595585
The Creator,1.896,250,40774679
The Marsh King's Daughter,1.8936170212765957,141,1792905
The Boys in the Boat,1.868613138686131,274,21998472
Fast X,1.8657407407407407,216,146126015
Jawan,1.8397435897435896,156,15198530
Asteroid City,1.828125,192,28153025
Saltburn,1.8251121076233183,223,11256512
Shazam! Fury of the Gods,1.8244897959183672,245,57638006
Renaissance: A Film by Beyoncé,1.8170731707317072,164,33223373
Elemental,1.8096774193548384,310,154426697
Creation of the Gods I: Kingdom of Storms,1.807486631016043,187,1686246
The Holdovers,1.8055555555555556,252,18208655
The Menu,1.7984496124031009,258,2779574
Billie Eilish Live at the O2,1.7979274611398963,193,1290000
"Are You There God? It's Me, Margaret.",1.7906137184115525,277,20372406
Love Again,1.7746478873239435,284,6230837
Avatar: The Way of Water,1.7651515151515151,264,283067859
Camp Hideout,1.7586206896551724,87,1125010
American Fiction,1.7570422535211268,284,1655483
Showing Up,1.7532467532467533,154,972074
Spirited Away2023 Re-release (Live on Stage),1.7341772151898731,158,1455081
Star Wars: Episode VI - Return of the Jedi2023 Re-release,1.7314049586776858,242,7259924
Next Goal Wins,1.7282051282051285,195,6713826
Mission: Impossible - Dead Reckoning Part One,1.7244897959183674,196,172135383
The Color Purple,1.7226890756302522,238,44047642
A Good Person,1.6942148760330578,242,2210465
The Fabelmans,1.6917808219178083,292,5541550
Barbie,1.6851063829787234,235,636225983
Renfield,1.6782608695652177,230,17297895
The Lost King,1.673684210526316,95,1189307
Tár,1.6724137931034482,232,1193875
Insidious: The Red Door,1.6682464454976302,211,82156962
The Covenant,1.667883211678832,274,16938039
Spider-Man: Across the Spider-Verse,1.6641509433962265,265,381311319
Lost in the Stars,1.6629213483146068,89,1721446
Babylon,1.654377880184332,217,6268558
Ant-Man and the Wasp: Quantumania,1.6542553191489362,188,214504909
Dungeons & Dragons: Honor Among Thieves,1.651465798045603,307,93277026
The Little Mermaid,1.6503067484662577,163,298172056
Magic Mike's Last Dance,1.6414141414141414,198,26005156
Dunki,1.6358024691358024,162,7160815
Joy Ride,1.6205357142857142,224,12897789
Kandahar,1.6174496644295302,149,4813132
Wonka,1.6166666666666667,240,133129902
Tu Jhoothi Main Makkaar,1.606666666666667,150,2503604
Gran Turismo,1.6059479553903346,269,44428554
The Big Lebowski,1.598360655737705,122,1266945
BlackBerry,1.5919282511210762,223,1476598
The Chosen Season 3 Finale,1.5782747603833869,313,5525069
Missing,1.5691056910569106,246,32502025
Poor Things,1.56891495601173,341,10269036
Titanic25 Year Anniversary,1.5555555555555556,216,15033795
Teenage Mutant Ninja Turtles: Mutant Mayhem,1.5436893203883495,206,118613586
Dream Scenario,1.5402298850574712,261,5615011
Marlowe,1.5389610389610389,154,4350243
The Expendables 4,1.5380434782608696,184,16710153
The Lord of the Rings: The Return of the King2023 Re-release (20th Anniversary),1.5355648535564854,239,1176085
Killers of the Flower Moon,1.5333333333333334,195,67292161
