movie,gross,release_date,link,,
Barbie,636225983,21/07/2023,pBk4NYhWNMM,,-UeGXB2NjR8'
The Super Mario Bros. Movie,574934330,05/04/2023,TnGl01FkMMo,,
Spider-Man: Across the Spider-Verse,381311319,02/06/2023,cqGjhVJWtEg,,
Guardians of the Galaxy Vol. 3,358995815,05/05/2023,u3V5KDHRQvk,,
Oppenheimer,326101370,21/07/2023,bK6ldnjE3Y0,,
The Little Mermaid,298172056,26/05/2023,kpGo2_d3oYE,,
Avatar: The Way of Water,283067859,16/12/2023,d9MyW72ELq0,,
Ant-Man and the Wasp: Quantumania,214504909,17/02/2023,ZlNFpri-Y40,,
John Wick: Chapter 4,187131806,24/03/2023,qEVUtrk8_B4,,
Sound of Freedom,184177725,04/07/2023,Rt0kp4VW1cI,,
Taylor Swift: The Eras Tour,179817571,13/10/2023,KudedLV0tP0,,
Indiana Jones and the Dial of Destiny,174480468,30/06/2023,eQfMbSe7F2g,,
Mission: Impossible - Dead Reckoning Part One,172135383,12/07/2023,avz06PDqDbM,,
The Hunger Games: The Ballad of Songbirds & Snakes,159719625,17/11/2023,RDE6Uz73A7g,,
Transformers: Rise of the Beasts,157066392,09/06/2023,itnqEauWQZM,,
Creed III,156248615,03/03/2023,AHmCH7iB_IM,,
Elemental,154426697,16/06/2023,hXzcyx9V0xw,,
Fast X,146126015,19/05/2023,32RAq6JzY-w,,
Five Nights at Freddy's,137275620,27/10/2023,0VH9WCFV6XQ,,
Wonka,133129902,15/12/2023,otNh9bTjXWg,,
Puss in Boots: The Last Wish,130425380,21/12/2023,RqrXhwS33yc,,
Teenage Mutant Ninja Turtles: Mutant Mayhem,118613586,02/08/2023,IHvzw4Ibuho,,
Scream VI,108161389,10/03/2023,h74AXqw4Opc,,
The Flash,108133313,16/06/2023,hebWYacbdvc,,
Trolls Band Together,96370205,17/11/2023,qZ40Z62tcXM,,
M3GAN,95159005,06/01/2023,BRb4U99OU80,,
Dungeons & Dragons: Honor Among Thieves,93277026,31/03/2023,IiMinixSXII,,
The Equalizer 3,92373751,01/09/2023,19ikl8vy4zs,,
The Nun II,86267073,08/09/2023,QF-oyCwaArU,,
The Marvels,84479155,10/11/2023,wS_qbDztgVY,,
Meg 2: The Trench,82600317,04/08/2023,dG91B3hHyY4,,
Insidious: The Red Door,82156962,07/07/2023,ZuQuOnYnr3Q,,
Aquaman and the Lost Kingdom,76469713,22/12/2023,UGc5Tzz19UY,,
Blue Beetle,72488072,18/08/2023,vS3_72Gb-bI,,
Haunted Mansion,67653287,28/07/2023,AjLKTz81bj8,,
Killers of the Flower Moon,67292161,20/10/2023,EP34Yoxs3FQ,,
Evil Dead Rise,67233054,21/04/2023,smTK_AeAPHs,,
The Exorcist: Believer,65537395,06/10/2023,PIxpPMyGcpU,,
PAW Patrol: The Mighty Movie,65231360,29/09/2023,UDgjJ9XzgHk,,
Cocaine Bear,64670240,24/02/2023,DuWEEKeJLMI,,
A Man Called Otto,64228358,30/12/2023,eFYUX9l-m5I,,
Wish,60609147,22/11/2023,oyRxxpD3yNw,,
Napoleon,60512228,22/11/2023,OAZWXUkrjPc,,
Shazam! Fury of the Gods,57638006,17/03/2023,Zi88i4CpHe4,,
Migration,54103955,22/12/2023,cQfo0HJhCnE,,
Saw X,53607898,29/09/2023,t3PzUo4P21c,,
Air,52460106,05/04/2023,Euy4Yu6B3nU,,
Jesus Revolution,52102987,24/02/2023,8vmHFvnjPDw,,
No Hard Feelings,50452282,23/06/2023,P15S6ND8kbQ,,
Talk to Me,48299436,28/07/2023,aLAKJu9aJys,,
Godzilla Minus One,45580412,01/12/2023,r7DqccP1Q_4,,
Gran Turismo,44428554,25/08/2023,GVPzGBvPrzw,,
The Color Purple,44047642,25/12/2023,wPwzBUui1GA,,
The Boogeyman,43244282,02/06/2023,cFqCmIU0-_M,,
A Haunting in Venice,42471412,15/09/2023,yEddsSwweyE,,
The Creator,40774679,29/09/2023,ex3C1-5Dhb8,,
80 for Brady,39330588,03/02/2023,-UeGXB2NjR8',,
The Boy and the Heron,35846555,08/12/2023,t5khm-VjEu4,,
Knock at the Cabin,35397980,03/02/2023,0wiBHEACNHs,,
Renaissance: A Film by Beyoncé,33223373,01/12/2023,BGYIXarTNbA,,
Missing,32502025,20/01/2023,seBixtcx19E,,
Plane,32111181,13/01/2023,M25zXBIUVr0,,
65,32062904,10/03/2023,bHXejJq5vr0,,
Thanksgiving,31800773,17/11/2023,KbU50SdL8zA,,
My Big Fat Greek Wedding 3,28496030,08/09/2023,AAflXqZ5xs0,,
Asteroid City,28153025,16/06/2023,9FXCSXuGTF4,,
Magic Mike's Last Dance,26005156,10/02/2023,pBIGdw-BRxw,,
Anyone But You,24837385,22/12/2023,UtjH6Sk7Gxs,,
Strays,23988885,18/08/2023,BzwOLKTbCUw,,
The Boys in the Boat,21998472,25/12/2023,dfEA-udzjjQ,,
Priscilla,20900492,27/10/2023,DBWk6BohVXk,,
"Are You There God? It's Me, Margaret.",20372406,28/04/2023,LzRzojHC3iE,,
The Pope's Exorcist,20009380,14/04/2023,YJXqvnT_rsk,,
The Holdovers,18208655,27/10/2023,AhKLpJmHhIg,,
The Blackening,17707207,16/06/2023,moiRCJR4ToY,,
Book Club: The Next Chapter,17581565,12/05/2023,i9k213d5FU0,,
Pathaan,17487476,25/01/2023,vqu4z34wENw,,
Black Panther: Wakanda Forever,17329414,11/11/2023,_Z3QKkl1WyM,,
Renfield,17297895,14/04/2023,6LmO6rmDW08,,
The Blind,17265487,28/09/2023,dE2wUVknVj8,,
The Covenant,16938039,21/04/2023,02PPMPArNEQ,,
The Expendables 4,16710153,22/09/2023,DhlaBO-SwVE,,
Champions,16397335,10/03/2023,pCHiWnj5Oek,,
The Iron Claw,15964922,22/12/2023,8KVsaoveTbw,,
Ruby Gillman: Teenage Kraken,15753600,30/06/2023,iAMKwDsfUeU,,
Jawan,15198530,07/09/2023,MWOlnZSnXJo,,
Titanic25 Year Anniversary,15033795,10/02/2023,I7c1etV7D7g,,
Animal,14772820,01/12/2023,8FkLRUJj-o0,,
Dumb Money,13925356,15/09/2023,bmr8YmwnZ3w,,
The Last Voyage of the Demeter,13637180,11/08/2023,eQUBghzpgzA,,
Joy Ride,12897789,07/07/2023,jyI-AM5VXDo,,
His Only Son,12392740,31/03/2023,E-qP5puRv1Q,,
The Whale,12129434,09/12/2023,nWiQodhMvz4,,
About My Father,12089391,26/05/2023,txLSE7tpgr0,,
Bottoms,12036071,25/08/2023,vH5NAahf76s,,
The Shift,11925234,01/12/2023,Tl7rtMiOrvY,,
After Death,11477621,27/10/2023,wMMAnO67RPw,,
Saltburn,11256512,17/11/2023,lALMdJf6UUE,,
Past Lives,11031696,02/06/2023,kA244xewjcI,,
Suzume,10932037,14/04/2023,IfKNOUUtyCA,,
Ferrari,10778480,25/12/2023,ERIBTIlVVJQ,,
The Machine,10458331,26/05/2023,AwDKLEaJxMk,,
Whitney Houston: I Wanna Dance with Somebody,10451167,23/12/2023,9tfemzaMkoU,,
Poor Things,10269036,08/12/2023,RlbR5N6veqw,,
The Nightmare Before Christmas30th Anniversary Re-Release,10251956,20/10/2023,wr6N_hZyBCk,,
Demon Slayer: Kimetsu No Yaiba - To the Swordsmith Village,10117806,03/03/2023,43NGiNYIS6E,,
House Party,9002247,13/01/2023,VO_xuS4FDHs,,
Radical,8636299,03/11/2023,L4DvL0UBZPQ,,
Salaar,8268997,22/12/2023,4GPvYMKtrtI,,
Silent Night,7996185,01/12/2023,yBnTqn0lBDA,,
Beau Is Afraid,7740323,14/04/2023,PuiWDn976Ek,,
The Hill,7665865,25/08/2023,upE1VupKCW8,,
Sisu,7265622,28/04/2023,2NnPzpuU5ao,,
Star Wars: Episode VI - Return of the Jedi2023 Re-release,7259924,28/04/2023,EcQKTTwLA-Y,,
Everything Everywhere All at Once,7183197,25/03/2023,wxN1T1uxQ2g,,
Dunki,7160815,21/12/2023,ACKQDAlAfFE,,
Coraline2023 Re-release (remastered),7149366,14/08/2023,T6iQnnHNF50,,
Retribution,6937696,25/08/2023,jzQn0-WH4WM,,
Journey to Bethlehem,6816475,10/11/2023,EFXcEWalXBI,,
Next Goal Wins,6713826,17/11/2023,pRH5u5lpArQ,,
Operation Fortune: Ruse de Guerre,6496125,03/03/2023,WdZ-BWWQcWQ,,
BTS: Yet to Come in Cinemas,6350496,01/02/2023,u0kJfkDix4Y,,
Babylon,6268558,23/12/2023,5muQK7CuFtY,,
Love Again,6230837,05/05/2023,CQDXtD2HJAs,,
Dream Scenario,5615011,10/11/2023,q3x9iUL-74w,,
The Fabelmans,5541550,11/11/2023,D1G2iLSzOe8,,
The Chosen Season 3 Finale,5525069,02/02/2023,NzVAJufqQfo,,
Nefarious,5433685,14/04/2023,txwrLGAL7Sg,,
Big George Foreman,5426772,28/04/2023,urKDu40iaXk,,
Waitress: The Musical,5402148,07/12/2023,k3_VSpJIaQ8,,
Tiger 3,5365263,11/11/2023,vEjTUDjjU6A,,
Women Talking,5321627,23/12/2023,pD0mFhMqDCE,,
Freelance,5314136,27/10/2023,BrqWlOzm2Iw,,
Infinity Pool,5078400,27/01/2023,PVnIMvVEkrA,,
Hocus Pocus30th Anniversary re-release,4929004,06/10/2023,dGpRlnZnKG0,,
You Hurt My Feelings,4830788,26/05/2023,20GWk5cWPBs,,
Kandahar,4813132,26/05/2023,WHs6z9RPGtA,,
Golda,4801781,25/08/2023,unW5w6JCEb8,,
It Lives Inside,4675092,22/09/2023,a5xUbuYHdi8,,
Hypnotic,4500169,12/05/2023,eHsWYmnXk1o,,
