Movie,VideoID,DatePosted,Comment
Barbie,pBk4NYhWNMM,2023-05-25,Ryan Gosling as Ken is all I need in life.
Barbie,pBk4NYhWNMM,2023-05-28,im obsessed with the dream houses being completely open so theyre easy to play in and the shower despite having no water is being treated like it does. its all perfect.
Barbie,pBk4NYhWNMM,2023-05-31,Bro Ken is just having the time of his life in every scene. The guy lives like he just vibes his whole life
Barbie,pBk4NYhWNMM,2024-03-31,So nostalgic...it should have been nominated for more awards....I&#39;m 60 and I found myself being a child again....at times crying....I don&#39;t think people gave this movie enough credit....I never even knew Barbie was created by an older woman. I&#39;ve watched it now about 5 times...I still get teary eyed..Margot Robbie was astounding in the role...
Barbie,pBk4NYhWNMM,2023-05-25,"This has top tier level marketing, music, visuals, fresh ideas, it&#39;s got it all! The world is ready for something NEW. Thank you Greta!"
Barbie,pBk4NYhWNMM,2023-05-26,"I love that they&#39;re keeping the plastic aesthetic and exaggerated architecture. Plus, all the actors are perfectly hilarious for their roles. I know this movie is going to be a great time."
Barbie,pBk4NYhWNMM,2023-05-27,I like how the person telling Barbie about the real world is a Barbie that a kid scribbled on a messed up. Such amazing details.
Barbie,pBk4NYhWNMM,2024-03-25,Margot is too good of an actress.  Fully had be believing she was an All American blonde Barbie.  Shockingly good.
Barbie,pBk4NYhWNMM,2023-05-27,The fact that almost every actor has said they had a GREAT time filming this is such a good sign
Barbie,pBk4NYhWNMM,2023-05-26,"I love that she floats down from the second level of her house to the car. Just like when you’re playing with Barbies, they defy physics."
Barbie,pBk4NYhWNMM,2023-05-26,"&quot;Humans only have one ending, ideas live forever&quot; is such an incredible line, wow. Greta Gerwig and Noah Baumbach can sure write a great script, and I don&#39;t think this&#39;ll be any different. It looks fantastic. The art direction is incredible."
Barbie,pBk4NYhWNMM,2024-06-23,I miss this era so much
Barbie,pBk4NYhWNMM,2023-05-25,"I would have never imagined, even in one hundred years, that I would be genuinely excited for a Barbie movie to come out. Yet here we are"
Barbie,pBk4NYhWNMM,2023-05-26,"I grew up with Barbie and we all know she&#39;s a huge icon in the toy industry,  but this is ridiculous and fantastic at the same time. I actually want to see this"
Barbie,pBk4NYhWNMM,2023-05-31,"&#39;No, you&#39;re supposed to want to know, do that again.&#39; I love this movie already."
Barbie,pBk4NYhWNMM,2024-03-18,She Played This Role Perfectly 💙 Wow This Is The Real World 💙
Barbie,pBk4NYhWNMM,2023-05-25,"Never thought I&#39;d be so excited for a Barbie movie, but alas here we are. Also Gosling as Ken is just amazing 😂"
Barbie,pBk4NYhWNMM,2023-06-01,"&quot;If you love Barbie, you&#39;ll love it. If you hate Barbie, you&#39;ll love it&quot;. I have to admit, I kind of love that."
Barbie,pBk4NYhWNMM,2023-05-26,"Margot is simply stunning. She brings so much heart to the role, she’s not just a blonde bimbo. She really was born to play Barbie."
Barbie,pBk4NYhWNMM,2024-03-17,This was a great movie and I&#39;m tired of pretending it wasn&#39;t.
Barbie,pBk4NYhWNMM,2023-05-25,I like how Barbie grow up with us: from kids&#39; cartoons to something kind of philosofic and thought-provoking. I&#39;m so glad her world is getting wider.
Barbie,pBk4NYhWNMM,2023-05-28,"Every single person, from the writer, to the director, to the producer, to the actors, supporting cast members and the entire crew, has to be IN-SANE for this to have been made!!! Kudos!!!!! 💞💞💞"
Barbie,pBk4NYhWNMM,2023-05-28,"I have the feeling that this movie will have some serious &quot;Truman Show/Black Mirror, but slap a pink filter on it&quot; energy, and honestly, I&#39;m <b>all</b> here for it."
Barbie,pBk4NYhWNMM,2024-03-07,"The movie is not just about women empowerment and gender equality, it’s also about answering ‘What was I made for?’. Figuring out your purpose. I never thought that this movie will touch my soul. Such a warm-hearted story. ❤"
Barbie,pBk4NYhWNMM,2023-05-25,"“Humans only have one ending, ideas live forever”. Greta Gerwig is making a masterpiece! This feels like it’s gonna give kids their first existential crisis and I’m all for it. If you love Barbie this movie is for you and if you hate Barbie this movie is for you. Wise Words!"
Barbie,pBk4NYhWNMM,2023-05-25,I never thought about Gosling playing Ken but that is just brilliant casting and of course Margot as Barbie is perfect
Barbie,pBk4NYhWNMM,2023-05-30,"The fact that they made this movie the way we played Barbie as kids, making the Barbie’s life perfect, making ken follow Barbie everywhere, not using the stairs in a Barbie house."
Barbie,pBk4NYhWNMM,2024-08-20,"Never thought I’d say this in a million years, but this movie was fantastic. Hilarious and entertaining til the end."
Barbie,pBk4NYhWNMM,2023-05-27,I love when she kicks her heels off and her feet stay ridiculously arched. That was the moment I knew I have to see this movie. 😂
Barbie,pBk4NYhWNMM,2023-05-25,I love that she just floats to the ground because no one used the stairs as a kid 😭<br><br>edit: little did I know they&#39;d literally say this in the movie 😭
Barbie,pBk4NYhWNMM,2023-05-26,Hearing the Barbie Girl song at the end I about almost had a heart attack from the excitement of it. Hopefully this means that they are finally listening to us and finally putting the song in there.
Barbie,pBk4NYhWNMM,2024-03-15,Barbie...and Ken... has been medicinal for folks. I come across folks who aren&#39;t quite so glamorous and feel it.<br>Now I say to them we are all Barbies and Kens. I then see them smile.<br>Before I saw the movie I would never have imagined myself saying this.
Barbie,pBk4NYhWNMM,2023-05-29,"Love how accurately they make her seem like a Barbie doll, from her staying stiff on her toes to floating to the ground since there&#39;s probably not a single kid in the world who used the stairs."
Barbie,pBk4NYhWNMM,2023-05-25,"I like how this is actually a unique idea/new concept for a Barbie movie  Even if it&#39;s a huge established franchise, making a Barbie for adults movie that deals with &quot;real life&quot; is new for the Barbie brand. A breath of fresh air from all the remakes and reboots in Hollywood lately. Can&#39;t wait to see this!"
Barbie,pBk4NYhWNMM,2023-05-31,I’m not even embarrassed to say how excited I am for this. It’s gonna be an instant classic.
Barbie,pBk4NYhWNMM,2024-12-28,"One of the most entertaining films I&#39;ve seen, what a pop comedy, with important themes. As a middle-aged man, I wouldn&#39;t have thought this film would interest me at all, but I ended up liking it a lot."
Barbie,pBk4NYhWNMM,2023-05-25,"“Humans only have one ending, ideas live forever”. Greta Gerwig is making a masterpiece!"
Barbie,pBk4NYhWNMM,2023-05-25,If you love Barbie this movie is for you and if you hate Barbie this movie is for you. Wise Words!
Barbie,pBk4NYhWNMM,2023-05-26,"“Humans only have one ending, ideas live forever”. Greta Gerwig is making a masterpiece! This feels like it’s gonna give kids their first existential crisis and I’m all for it. If you love Barbie this movie is for you and if you hate Barbie this movie is for you. Wise Words!"
Barbie,pBk4NYhWNMM,2024-01-26,A barbie couldn&#39;t be this beautiful. It&#39;s really beautiful. I recommend everyone to watch it.
Barbie,pBk4NYhWNMM,2023-05-26,"Not only did Mattel approve a PG-13 Barbie movie mostly intended for adults who grew up with Barbies, but they also approved a story where they’re the villains. That’s just insane"
Barbie,pBk4NYhWNMM,2023-05-25,This looks so artistic and fun for the actors! Can&#39;t wait. Going to go to the theater dressed as Barbie!
Barbie,pBk4NYhWNMM,2023-06-02,"The fact a Barbie movie is one of the most hype movies this year is astounding<br>Edit: this was an abomination, wow"
Barbie,pBk4NYhWNMM,2024-08-23,"This movie was an emotion . It tells so much , how barbie was made to be an aspiration of women , and how its turned out to be a sexualized/ objectified &#39;doll&#39; , Barbie was never made to be a &#39;doll&#39; in the first place ."
